"column_name","data_type","character_maximum_length","is_nullable","column_default"
"order_date","timestamp with time zone",NULL,"YES","now()"
"subtotal","numeric",NULL,"NO",NULL
"tax","numeric",NULL,"NO",NULL
"total","numeric",NULL,"NO",NULL
"status","character varying",20,"YES","'completed'::character varying"
"created_at","timestamp with time zone",NULL,"YES","CURRENT_TIMESTAMP"
"id","uuid",NULL,"NO","gen_random_uuid()"
"winery_id","uuid",NULL,"YES",NULL
"customer_id","uuid",NULL,"YES",NULL
"employee_id","uuid",NULL,"YES",NULL
"order_source","character varying",50,"YES","'pos'::character varying"
"order_number","character varying",50,"YES",NULL
"customer_name","character varying",255,"YES",NULL
"is_guest","boolean",NULL,"YES","false"
"payment_status","character varying",50,"YES","'pending'::character varying"
"payment_method","character varying",50,"YES",NULL
"payment_reference","character varying",100,"YES",NULL
"transaction_amount","numeric",NULL,"YES",NULL
"transaction_tip","numeric",NULL,"YES","0"
"transaction_fee","numeric",NULL,"YES","0"
"payment_auth_code","character varying",50,"YES",NULL
"payment_response_message","text",NULL,"YES",NULL
"card_type","character varying",50,"YES",NULL
"card_last_4","character varying",4,"YES",NULL
"payment_processed_at","timestamp with time zone",NULL,"YES",NULL
